system:index,crop_label,soil_oc,soil_ph,soil_texture,.geo
49,0,2.0,76.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05404358899149,36.1312737898639]}"
50,0,4.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.2502356470432,36.82818678728382]}"
51,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1822286057535,35.88522523354356]}"
52,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.16228600644604,35.88899815773686]}"
53,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.86260802766377,35.15597288589533]}"
54,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.67136127795658,36.58671963891249]}"
55,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.15581813640038,35.79305808539289]}"
56,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.0556605565029,36.64870339351674]}"
57,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.16875387649169,35.7262234282544]}"
58,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.63605748729067,36.63954057761872]}"
59,0,2.0,73.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.5900683190256,35.57368949301091]}"
60,0,3.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13587553709293,35.496075052462984]}"
61,0,2.0,81.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.9305206631432,35.33545627966241]}"
62,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.4889134437519,36.61717252704415]}"
63,0,2.0,74.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.55476452835971,37.47578227560558]}"
64,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.15474015805944,35.78443425866535]}"
65,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01119394993898,36.79153552369174]}"
66,0,2.0,81.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.92091326388497,36.635498158840186]}"
67,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.98505297517112,36.874539855944384]}"
68,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.59707517824174,36.64223552347108]}"
69,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01415839037658,36.91199960329217]}"
70,0,3.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.80897860520183,35.19693606285118]}"
71,0,3.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.94453438157547,35.06326674857419]}"
72,0,2.0,78.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.65259106280033,36.78695411574273]}"
73,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.27718510556677,37.16694148092529]}"
74,0,2.0,75.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.61917373423108,35.221460070107646]}"
75,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.98855640477917,36.930594729673444]}"
76,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.57218727058978,35.48637324739449]}"
77,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1506977392809,36.01593010738295]}"
78,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.61638438256846,36.620675956652214]}"
79,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.10757860564316,36.045844006344126]}"
80,0,2.0,77.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.63992481729424,36.76458606516816]}"
81,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.15096723386613,35.715174150259735]}"
82,0,2.0,78.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.1375869104146,36.34094057717739]}"
83,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.8459937691894,36.60639274363471]}"
84,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.10390008726012,37.023839856165054]}"
85,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.37383925585618,35.75074743551087]}"
86,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.41974774115654,37.02491783450599]}"
87,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.14449936382047,36.03829815795753]}"
88,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.24286488743157,35.903011876169124]}"
89,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.32515514173876,37.00066332183477]}"
90,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.10218871393845,35.76206620809077]}"
91,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.9068995454527,36.92601332172443]}"
92,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.6783681371727,36.52311891679683]}"
93,0,1.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.82443420237054,36.55923119121844]}"
94,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.96403239752271,36.788032094083675]}"
95,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.23504954445971,35.828631370644025]}"
96,0,2.0,82.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.85380911216124,36.58025176886683]}"
97,0,2.0,71.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.65771145991981,35.729996352447706]}"
98,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19139142165152,35.97847036003517]}"
99,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.09679882223372,35.08186187495547]}"
100,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.99744972609196,36.83088173313618]}"
101,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.9985277044329,36.914155559974056]}"
102,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21385387803635,36.83222920606236]}"
103,0,2.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12303420281187,36.93409815928151]}"
104,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.8883988248817,35.86716909633276]}"
105,0,2.0,78.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.03976037597398,36.136394186983374]}"
106,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.03598745178068,36.7904575453508]}"
107,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.56248546552129,36.52608335723443]}"
108,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.79361741384339,35.241672164000335]}"
109,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.8733878110732,35.22496349971571]}"
110,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.98208853473352,36.77294039731047]}"
111,0,2.0,74.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.9451677765562,36.69936837554108]}"
112,0,2.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.93223203646488,36.71284310480287]}"
113,0,2.0,74.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13937896670099,36.23934111854347]}"
114,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.09949376808608,35.990058627200305]}"
115,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.29649430989349,35.719216569038274]}"
116,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.28059412936457,35.52410248932751]}"
117,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.28517553731359,35.61707812123388]}"
118,0,3.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19866777545288,35.69577054012275]}"
119,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21035044842829,36.839505559863724]}"
120,0,2.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.13543095373272,36.84570393532415]}"
121,0,2.0,81.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.69588528521304,36.653823790636224]}"
122,0,4.0,67.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.32165171213069,36.349833898490175]}"
123,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.08557445546408,36.906070722416985]}"
124,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.2048661509133,35.37857541330015]}"
125,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.08979196301759,35.91460014333427]}"
126,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.08979196301759,35.91891205669804]}"
127,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.42648510578744,37.04216548796109]}"
128,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.21106452637373,35.752094908437044]}"
129,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.88399250570767,36.61393859202131]}"
130,0,3.0,74.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.32973654968777,34.60647342659942]}"
131,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.86674485225257,36.61286061368037]}"
132,0,2.0,77.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.50050171091704,35.42304201986406]}"
133,0,4.0,70.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.15770459849703,35.62462396962049]}"
