system:index,crop_label,temp_mean,vpd_mean,solar_mean
0,0,19.325000762939453,1.6629999876022339,362.91998291015625
1,0,19.164997100830078,1.6480000019073486,363.510009765625
2,0,18.744997024536133,1.5880000591278076,357.3299865722656
3,0,20.3700008392334,1.9490000009536743,354.32000732421875
4,0,18.635000228881836,1.5640000104904175,355.9200134277344
5,0,18.809999465942383,1.6010000705718994,361.9100036621094
6,0,19.240001678466797,1.725000023841858,355.7099914550781
7,0,20.075000762939453,1.8259999752044678,363.3299865722656
8,0,18.6200008392334,1.5950000286102295,360.2799987792969
9,0,18.939998626708984,1.6029999256134033,357.760009765625
10,0,20.810001373291016,1.9179999828338623,363.08001708984375
11,0,16.06000328063965,1.0800000429153442,349.29998779296875
12,0,18.98999786376953,1.6180000305175781,356.4599914550781
13,0,18.660003662109375,1.6100000143051147,358.6400146484375
14,0,18.53499984741211,1.5609999895095825,355.47998046875
15,0,16.494998931884766,1.215000033378601,349.6499938964844
16,0,18.0,1.5139999389648438,350.9700012207031
17,0,16.354999542236328,1.090000033378601,348.9100036621094
18,0,16.494998931884766,1.215000033378601,349.6499938964844
19,0,18.689998626708984,1.5920000076293945,356.8399963378906
20,0,15.210000991821289,0.8339999914169312,348.2900085449219
21,0,18.85999870300293,1.6159999370574951,358.010009765625
22,0,18.950002670288086,1.6169999837875366,358.54998779296875
23,0,19.010000228881836,1.6319999694824219,358.510009765625
24,0,18.23499870300293,1.5290000438690186,351.989990234375
25,0,19.584999084472656,1.7940000295639038,355.4200134277344
26,0,18.6200008392334,1.5780000686645508,356.22998046875
27,0,19.559999465942383,1.749000072479248,352.6000061035156
28,0,18.689998626708984,1.5920000076293945,356.8399963378906
29,0,18.814998626708984,1.6080000400543213,357.1000061035156
30,0,18.790000915527344,1.590999960899353,357.41998291015625
31,0,15.550000190734863,1.0820000171661377,348.9100036621094
32,0,19.21000099182129,1.7230000495910645,355.42999267578125
33,0,19.450002670288086,1.6979999542236328,363.4200134277344
34,0,19.01500129699707,1.6430000066757202,359.9599914550781
35,0,18.560001373291016,1.5779999494552612,357.1400146484375
36,0,18.744997024536133,1.5880000591278076,357.3299865722656
37,0,19.240001678466797,1.725000023841858,355.7099914550781
38,0,18.0,1.5139999389648438,350.9700012207031
39,0,19.665000915527344,1.6380000114440918,352.3900146484375
40,0,18.950002670288086,1.6169999837875366,358.54998779296875
41,0,15.550000190734863,1.0820000171661377,348.9100036621094
42,0,19.005001068115234,1.6419999599456787,358.6600036621094
43,0,19.83500099182129,1.7799999713897705,360.6199951171875
44,0,18.689998626708984,1.5920000076293945,356.8399963378906
45,0,18.184999465942383,1.5290000438690186,351.7200012207031
46,0,19.235002517700195,1.649999976158142,355.260009765625
47,0,19.069997787475586,1.652999997138977,359.5899963378906
48,0,18.880001068115234,1.5429999828338623,353.7799987792969
49,0,19.325000762939453,1.6619999408721924,364.29998779296875
50,0,18.705001831054688,1.5889999866485596,357.02001953125
51,0,16.80499839782715,1.1700000762939453,351.239990234375
52,0,18.644996643066406,1.5839999914169312,356.6100158691406
53,0,18.53999900817871,1.565000057220459,356.0
54,0,18.92500114440918,1.6139999628067017,356.9700012207031
55,0,18.644996643066406,1.5839999914169312,356.6100158691406
56,0,18.954998016357422,1.6100000143051147,354.82000732421875
57,0,19.524999618530273,1.7050000429153442,363.55999755859375
58,0,16.135000228881836,1.0420000553131104,347.30999755859375
59,0,18.709999084472656,1.5989999771118164,356.0400085449219
60,0,19.125,1.6540000438690186,359.25
61,0,18.475000381469727,1.559000015258789,351.52001953125
62,0,18.78000259399414,1.6100000143051147,358.04998779296875
63,0,20.420000076293945,1.9100000858306885,359.1000061035156
64,0,18.689998626708984,1.5920000076293945,356.8399963378906
65,0,18.699996948242188,1.600000023841858,357.57000732421875
66,0,18.950002670288086,1.6169999837875366,358.54998779296875
67,0,20.59000015258789,1.9620000123977661,354.58001708984375
68,0,15.704998970031738,1.0329999923706055,349.739990234375
69,0,17.454998016357422,1.4019999504089355,351.2200012207031
70,0,18.814998626708984,1.6080000400543213,357.1000061035156
71,0,18.53499984741211,1.5609999895095825,355.47998046875
72,0,18.304996490478516,1.5440000295639038,354.05999755859375
73,0,18.644996643066406,1.5839999914169312,356.6100158691406
74,0,16.665000915527344,1.1690000295639038,350.17999267578125
75,0,20.575000762939453,1.9880000352859497,359.25
76,0,18.045000076293945,1.4800000190734863,352.42999267578125
77,0,16.139999389648438,1.00600004196167,348.95001220703125
78,0,15.840001106262207,1.100000023841858,349.54998779296875
79,0,18.419998168945312,1.559000015258789,354.7300109863281
80,0,19.125,1.6540000438690186,359.25
81,0,18.265003204345703,1.4809999465942383,354.8900146484375
82,0,18.979999542236328,1.6290000677108765,361.739990234375
83,0,19.759998321533203,1.8619999885559082,352.42999267578125
84,0,19.235002517700195,1.649999976158142,355.260009765625
85,0,19.524999618530273,1.7050000429153442,363.55999755859375
86,0,18.790000915527344,1.590999960899353,357.41998291015625
87,0,18.27499771118164,1.534999966621399,355.05999755859375
88,0,18.814998626708984,1.6080000400543213,357.1000061035156
89,0,18.92500114440918,1.6139999628067017,356.9700012207031
