system:index,crop_label,soil_oc,soil_ph,soil_texture,.geo
0,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97933587925834,34.84995199818798]}"
1,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5317053731816,35.820132505037066]}"
2,0,2,61,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58695176315494,35.73605019444348]}"
3,0,2,60,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2754160226223,34.82246355049392]}"
4,0,2,60,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.83057486820816,35.31078773894129]}"
5,0,2,60,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.24819706951347,35.30970976060035]}"
6,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2379562752745,35.19894748606841]}"
7,0,2,62,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.18944724993206,35.29219261256002]}"
8,0,2,63,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35761187111923,35.46925055505998]}"
9,0,3,61,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64246764771353,35.70074640377758]}"
10,0,2,64,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.53386132986347,35.55171589814215]}"
11,0,2,63,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.1980710766596,35.75518430999522]}"
12,0,2,61,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48858623954385,35.61585560942829]}"
13,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3261754104569,35.20918828030738]}"
14,0,2,61,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.25880176414793,35.40376337084766]}"
15,0,2,60,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.82949688986722,35.164452179158225]}"
16,0,2,60,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.76670465150725,35.42586192683701]}"
17,0,4,62,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27119851506878,35.733085754005884]}"
18,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.78745573457041,34.962061745646096]}"
19,0,2,60,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31098930787343,35.06527817179143]}"
20,0,2,60,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.87019057223783,34.78365633021996]}"
21,0,3,57,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.73679075254607,35.46143521208814]}"
22,0,2,64,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63896421810546,35.15501986867497]}"
23,0,2,57,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.75942829770588,35.43852817234309]}"
24,0,2,62,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55003100497763,35.17442347881195]}"
25,0,2,59,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.54760555371051,35.59133160217182]}"
26,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.83623425449811,35.143701096095064]}"
27,0,4,62,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60312143826908,35.62663539283772]}"
28,0,3,57,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65459490404913,35.6775698694473]}"
29,0,3,64,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.22016963264893,35.540397125562244]}"
30,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.92247252177359,34.90762383942845]}"
31,0,2,60,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61282324333759,35.629330338690075]}"
32,0,2,59,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35249147399975,34.801981962016]}"
33,0,2,57,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.82302901982155,34.90061698021232]}"
34,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86749562638546,35.017308135619444]}"
35,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.75457739517164,35.771892974279844]}"
36,0,2,60,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4934371420781,34.808719326646894]}"
37,0,3,62,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60473840578051,35.6107352123088]}"
38,0,2,59,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60581638412145,35.71988051932932]}"
39,0,2,65,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.10967685270224,35.49997293777687]}"
40,0,2,60,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65297793653772,35.08629874943983]}"
41,0,2,63,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.11237179855459,35.50078142153257]}"
42,0,2,64,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.16896566145412,35.48110831681036]}"
43,0,2,60,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46514021062833,35.84357853395258]}"
44,0,3,61,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32823696132851,35.800998389485315]}"
45,0,3,57,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86345320760692,34.92594947122449]}"
46,0,2,58,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97475447130934,34.819229615471095]}"
47,0,2,60,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.16959905643486,35.47922185471371]}"
