system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,311.0,470.5,275.0,615.5,3178.0,5394.0,5318.0,1816.0,744.0,5776.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.76995347350761,35.36024978150411]}"
1,472.5,579.0,390.5,744.5,2884.0,4713.5,4542.0,1939.5,815.5,5040.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31154318402142,35.20205645997066]}"
2,309.0,527.0,284.0,694.0,3326.0,5298.0,5243.0,1875.0,790.0,5718.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.14104751737739,34.84578461828886]}"
3,392.0,511.0,301.0,625.0,2849.0,4866.0,4794.0,1703.0,702.0,5105.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47728235394148,35.73835068459002]}"
4,422.0,604.0,355.0,756.5,3370.0,5487.0,5482.0,1976.5,787.0,5877.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.05642621761334,34.89752757865414]}"
5,357.0,552.0,313.5,704.0,3146.0,4676.5,4652.0,1777.5,731.0,4989.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.29870184974037,35.05194797599429]}"
6,401.5,595.5,370.0,804.5,2938.5,4322.5,4312.5,2077.5,926.0,4611.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65514878019714,34.87758497934669]}"
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48186376189048,35.45349490799572]}"
8,521.5,630.5,418.5,750.0,2994.5,4723.5,4634.0,1785.5,746.0,5028.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.43156268026165,34.956007903650324]}"
9,376.0,515.0,310.0,635.0,2801.0,4429.0,4317.0,1874.0,738.0,4660.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50126737202747,35.616269637478176]}"
