system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,506.0,764.0,918.0,1411.5,1862.5,2167.0,2162.5,3153.0,2163.0,2497.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35223686639203,33.37353569914538]}"
1,364.5,655.0,468.0,1034.0,2642.0,3330.0,3286.0,1811.5,848.0,3647.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.09711989998395,34.459598877645874]}"
2,717.0,726.0,868.0,976.5,928.0,1042.0,981.5,1353.5,778.5,1208.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.84487296820318,33.36706782909972]}"
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.11733199387663,33.34038786516137]}"
4,510.0,805.0,1090.0,1623.0,2172.0,2551.0,2671.0,2917.0,1801.0,3067.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.72423379982779,34.14887162086894]}"
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.01384607314607,33.593982269868306]}"
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34630798551684,33.67321367792765]}"
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75414769878897,34.660641838231825]}"
8,431.5,735.0,784.0,1339.5,2190.5,2635.5,2721.0,2584.0,1561.0,3083.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.17527332970235,34.39303371509262]}"
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62200094621313,33.546012233696324]}"
10,563.0,852.0,945.0,1545.0,2402.0,2923.0,3058.0,3120.0,1856.0,3377.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.96345058570697,33.694773244746514]}"
11,809.0,1006.0,1325.0,1763.0,2343.0,2879.0,2976.0,3613.0,2468.0,3483.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.66646755277705,34.449897072577386]}"
12,474.0,764.0,903.0,1381.0,2214.0,2729.0,2803.0,2960.0,1777.0,3277.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.58328813174943,33.989061331824075]}"
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97638632579829,33.6961207176727]}"
14,511.0,766.5,887.5,1438.0,2301.0,2798.5,2933.5,2994.0,1873.5,3327.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.20087531529975,34.69163371553395]}"
15,611.0,977.0,918.0,1629.0,2780.0,3287.0,3332.0,2873.0,1577.0,3724.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5893921013996,33.591556818601184]}"
16,583.5,713.0,933.0,1237.0,1448.0,1662.5,1594.5,2907.0,2029.5,1902.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36598109023906,33.754601042668874]}"
17,381.5,660.5,501.5,1038.5,2739.5,3619.5,3565.0,1918.0,899.0,4010.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3922164708172,33.77454364197633]}"
18,455.0,763.0,863.0,1457.0,2340.0,2734.5,2833.5,2593.5,1488.0,3171.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1359271202579,34.29763263191913]}"
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86373758916969,34.379019996660354]}"
20,488.0,645.5,926.0,1235.5,1509.0,1744.5,1848.5,3110.5,2002.5,2152.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.45366123625098,33.188931908258816]}"
21,759.0,913.0,1171.0,1423.0,1591.0,1838.0,1675.0,2172.0,1428.0,2034.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33822314795977,33.845690212478594]}"
22,688.0,936.0,876.0,1130.0,1352.0,1567.0,1349.0,1826.0,1542.0,1876.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.88907008018187,33.43363299165297]}"
23,819.0,1064.0,1544.0,2059.0,2561.0,3113.0,3269.0,4324.0,2880.0,3742.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55866971868271,34.21516728883696]}"
24,365.5,616.5,452.0,988.5,2692.5,3672.5,3684.0,2090.0,1025.0,4070.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27417784248391,34.245081187798135]}"
25,661.5,838.5,1074.5,1458.5,1709.5,1947.0,1993.0,3259.0,2195.5,2349.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86778000794823,33.39859869557231]}"
26,602.0,914.0,1387.0,1866.5,2294.5,2679.5,2839.5,3378.5,2227.5,3236.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.9990238709581,34.476577036515735]}"
27,497.0,767.0,658.0,1260.0,2765.0,3469.0,3465.0,2293.0,1167.0,3836.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7018657492532,34.46983967188484]}"
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55651376200082,33.78235898494817]}"
29,619.0,941.0,957.0,1480.0,2687.0,3328.0,3406.0,3064.0,1898.0,3775.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.40245726505617,34.44208172960555]}"
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.82007946636149,33.399676673913255]}"
31,618.0,794.5,905.5,1347.0,2084.0,2584.0,2653.5,2661.5,1715.0,2990.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70779463012839,34.0456551947236]}"
32,461.0,786.0,674.0,1321.0,2752.0,3505.0,3520.0,2652.0,1474.0,3920.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6943199008666,33.92195718010034]}"
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52120997133493,34.3410212601421]}"
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.41934101811577,33.767536782760196]}"
35,559.0,706.5,921.0,1186.5,1298.5,1434.5,1487.5,2394.0,1567.0,1694.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4977639424194,33.60610952620392]}"
36,446.0,679.0,588.0,1088.0,2469.0,3201.0,3223.0,2388.0,1356.0,3526.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.89661592856847,34.576020538467766]}"
37,458.0,741.0,500.0,1063.0,3090.0,4144.0,4092.0,2225.0,1092.0,4490.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.99578993593526,34.73825627877975]}"
38,651.0,796.0,1116.0,1388.0,1457.0,1719.0,1817.0,3044.0,2179.0,1947.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.05723470136904,33.533076493605]}"
