system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,847.5,1159.0,1622.0,1902.5,1995.0,2164.5,2210.5,3430.0,2947.5,2407.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35223686639203,33.37353569914538]}"
1,839.0,1209.0,1555.0,1994.0,2229.0,2416.0,2471.0,3521.0,2668.0,2654.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.09711989998395,34.459598877645874]}"
2,766.5,1021.5,1333.0,1722.0,2100.5,2328.0,2410.5,4193.0,3021.5,2643.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.84487296820318,33.36706782909972]}"
3,1075.0,1520.5,2104.0,2488.5,2562.5,2724.0,2833.0,4417.5,3980.0,2971.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.11733199387663,33.34038786516137]}"
4,834.0,1159.0,1640.0,1930.0,2055.0,2238.0,2265.0,3754.0,3334.0,2499.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.72423379982779,34.14887162086894]}"
5,693.0,1087.0,1422.0,1960.0,2482.0,2746.0,2892.0,3800.0,2422.0,3132.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.01384607314607,33.593982269868306]}"
6,590.0,855.0,1104.0,1539.0,1995.0,2199.0,2344.0,3378.0,2264.0,2509.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34630798551684,33.67321367792765]}"
7,827.0,1122.0,1469.0,1802.0,1957.0,2100.0,2179.0,3521.0,2742.0,2279.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75414769878897,34.660641838231825]}"
8,741.0,1087.0,1356.0,1802.0,2275.0,2457.0,2564.0,3693.0,2459.0,2804.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.17527332970235,34.39303371509262]}"
9,796.0,1172.0,1561.0,1812.0,1901.0,2017.0,2068.0,3326.0,2986.0,2127.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62200094621313,33.546012233696324]}"
10,593.0,832.0,1177.0,1430.0,1523.0,1670.0,1763.0,2319.0,1463.0,1908.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.96345058570697,33.694773244746514]}"
11,786.0,1043.0,1300.0,1575.0,1724.0,1832.0,1856.0,2937.0,2454.0,2012.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.66646755277705,34.449897072577386]}"
12,1201.0,1739.0,2202.0,2786.0,3200.0,3319.0,3388.0,4185.0,3481.0,3567.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.58328813174943,33.989061331824075]}"
13,633.0,845.0,1169.0,1385.0,1446.0,1578.0,1650.0,2467.0,1610.0,1803.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97638632579829,33.6961207176727]}"
14,1033.0,1514.0,1953.0,2425.0,2685.0,2940.0,2942.0,4394.0,3826.0,3189.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.20087531529975,34.69163371553395]}"
