system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
31,1000.5,1506.0,2177.0,2628.0,2882.0,3065.5,3360.5,3329.5,2336.0,3426.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.41647098348844,34.824225051469995]}"
32,581.0,905.5,1194.5,1744.0,2356.5,2579.0,2820.0,2807.0,1818.5,2876.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65703524229379,35.7472440059028]}"
33,680.5,1011.0,1379.0,1680.5,1879.0,1996.5,2177.0,2723.0,2066.5,2234.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8141505854863,35.137916748684525]}"
34,250.0,697.0,346.0,1167.0,3469.0,4016.0,4235.0,1918.0,924.0,4175.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62766033250308,35.09291115295014]}"
35,680.0,1026.0,1381.5,1723.0,1885.5,2029.0,2226.5,2785.5,2073.5,2238.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.20141430447022,35.19747505202165]}"
36,392.0,614.0,892.0,1033.0,1147.0,1171.0,1376.0,1756.0,1147.0,1418.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60906520612181,34.8603373258916]}"
37,544.0,815.0,1232.0,1564.0,1820.5,2000.0,2090.5,2703.0,1902.0,2267.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.676708347016,35.471281550621285]}"
38,925.0,1263.0,1657.0,1960.0,2051.0,2189.0,2363.0,3216.0,2456.0,2482.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.94970636185994,34.92771097220056]}"
39,284.5,566.0,546.5,1061.0,2099.5,2279.0,2424.0,1743.0,1035.0,2450.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27920383379312,35.74266259795379]}"
40,358.5,692.0,747.0,1582.5,3213.5,3579.0,3878.5,2283.0,1309.0,3916.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.33616159708815,35.179688409396086]}"
41,881.0,1224.0,1544.0,1828.0,2004.0,2101.0,2300.0,3254.0,2729.0,2384.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.02678181323739,34.87300357139768]}"
42,476.0,716.5,1098.5,1320.0,1421.5,1535.5,1694.0,2005.0,1354.0,1766.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.22773036801307,35.417113138988874]}"
43,290.0,754.5,320.0,1188.5,3858.5,4373.0,4588.0,1222.0,574.5,4561.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.262859069904,35.41819111732982]}"
44,676.0,964.0,1374.0,1702.0,1799.0,1937.0,2118.0,3379.0,2646.0,2242.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4989363265706,35.681756821690485]}"
45,503.5,889.5,938.0,1498.0,2539.5,2796.0,3059.0,2557.0,1728.0,3038.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.82358289596955,35.80491584714327]}"
46,551.0,867.0,1205.5,1588.5,1834.0,1993.0,2188.0,2904.5,2302.5,2228.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.20249228281116,35.81353967387082]}"
47,278.5,728.0,325.0,1178.5,3696.5,4131.0,4342.5,1294.5,645.0,4260.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.26474553200065,35.42034707401171]}"
