system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35223686639203,33.37353569914538]}"
1,411.0,628.5,370.0,799.0,3144.0,4509.5,4571.5,1802.5,748.0,4795.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.09711989998395,34.459598877645874]}"
2,569.5,756.5,1031.0,1472.0,1759.5,2078.5,1922.0,3294.5,2290.5,2511.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.84487296820318,33.36706782909972]}"
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.11733199387663,33.34038786516137]}"
4,787.0,1122.0,838.0,1604.0,3485.0,4367.0,4409.0,2840.0,1558.0,4701.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.72423379982779,34.14887162086894]}"
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.01384607314607,33.593982269868306]}"
6,1394.0,1457.0,1200.0,1656.0,3135.0,3841.0,3980.0,2529.0,1394.0,4033.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34630798551684,33.67321367792765]}"
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75414769878897,34.660641838231825]}"
8,411.0,685.0,500.0,1029.0,2833.0,3610.0,3776.0,2088.0,984.0,4082.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.17527332970235,34.39303371509262]}"
9,724.0,922.0,1084.0,1443.0,1763.0,2035.5,2009.0,2966.0,2059.0,2211.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62200094621313,33.546012233696324]}"
10,912.0,1024.0,714.0,1185.0,3261.0,4405.0,4423.0,2333.0,1051.0,4728.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.96345058570697,33.694773244746514]}"
11,475.0,657.0,640.0,1014.5,2087.5,2738.5,2784.5,2195.5,1269.0,3099.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.66646755277705,34.449897072577386]}"
12,772.5,851.5,683.5,1019.0,2127.0,2884.0,2868.0,1768.0,1155.5,3242.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.58328813174943,33.989061331824075]}"
13,605.5,884.0,592.0,1219.5,3477.0,4582.0,4591.0,2306.5,1002.0,4979.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97638632579829,33.6961207176727]}"
14,452.0,680.0,442.0,893.0,2979.0,4156.0,4177.0,2110.0,1015.0,4472.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.20087531529975,34.69163371553395]}"
15,610.0,862.0,541.0,1087.0,3354.0,4354.0,4363.0,2152.0,913.0,4648.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5893921013996,33.591556818601184]}"
16,471.0,649.0,659.0,1056.0,1828.0,2182.0,2098.0,2235.0,1327.0,2409.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36598109023906,33.754601042668874]}"
17,442.0,618.0,377.0,918.0,3276.0,4724.0,4638.0,1992.0,871.0,5178.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3922164708172,33.77454364197633]}"
18,417.5,784.0,595.0,1233.0,3067.5,3809.0,3891.0,2209.0,1081.0,4218.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1359271202579,34.29763263191913]}"
19,610.0,910.0,678.0,1270.0,2946.0,3636.0,3713.0,2460.0,1379.0,3900.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86373758916969,34.379019996660354]}"
20,562.0,684.0,745.0,1066.0,1447.0,1652.0,1679.0,2390.0,1505.0,1967.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.45366123625098,33.188931908258816]}"
21,755.5,1002.0,901.5,1427.5,2533.0,3042.0,3114.0,2426.5,1317.0,3469.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33822314795977,33.845690212478594]}"
22,588.0,727.0,905.0,1306.0,1700.0,1961.0,2223.0,2884.0,1805.0,2435.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.88907008018187,33.43363299165297]}"
23,445.0,659.0,757.0,1211.0,2190.0,2702.0,2957.0,2502.0,1471.0,3185.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55866971868271,34.21516728883696]}"
24,460.0,595.0,397.5,759.0,2877.5,4367.5,4447.5,1835.0,788.5,4683.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27417784248391,34.245081187798135]}"
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86778000794823,33.39859869557231]}"
26,466.0,761.5,734.0,1270.5,2468.5,3080.5,3264.5,2470.5,1427.0,3457.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.9990238709581,34.476577036515735]}"
27,569.5,719.5,480.0,908.5,2729.5,3744.0,3777.5,1850.0,872.5,4035.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7018657492532,34.46983967188484]}"
28,544.0,746.0,647.0,1173.0,2158.0,2708.0,2686.0,2315.0,1345.0,2890.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55651376200082,33.78235898494817]}"
29,576.5,827.5,536.5,1072.0,3118.0,4201.5,4248.0,2150.0,1028.5,4473.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.40245726505617,34.44208172960555]}"
30,1372.5,1489.0,1379.5,1903.0,3093.5,3652.5,3671.0,3096.0,1826.0,3989.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.82007946636149,33.399676673913255]}"
31,1851.5,1890.0,1734.5,2157.0,3168.5,3682.5,3569.0,2708.5,2161.5,3831.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70779463012839,34.0456551947236]}"
32,1138.0,1205.0,867.0,1285.0,3428.0,4888.0,4873.0,2258.0,948.0,5273.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6943199008666,33.92195718010034]}"
33,452.0,646.0,486.0,917.0,2567.0,3694.0,3701.0,2093.0,1080.0,4009.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52120997133493,34.3410212601421]}"
34,797.0,1038.0,1080.0,1516.0,2229.0,2573.0,2662.0,2759.0,1792.0,2884.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.41934101811577,33.767536782760196]}"
35,559.0,809.0,723.0,1219.0,1948.0,2203.0,2300.0,2093.0,1164.0,2460.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4977639424194,33.60610952620392]}"
36,363.0,569.5,398.5,808.5,2813.5,3973.0,4003.5,1858.0,867.5,4281.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.89661592856847,34.576020538467766]}"
37,403.0,621.0,370.0,751.0,3104.0,4496.0,4604.0,1836.0,798.0,4811.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.99578993593526,34.73825627877975]}"
38,660.0,806.0,999.5,1312.0,1629.5,1833.5,1885.5,2888.5,2023.5,2117.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.05723470136904,33.533076493605]}"
39,603.0,876.0,612.0,1212.0,2717.0,3323.0,3296.0,1918.0,895.0,3536.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.68694914125497,33.24363930906169]}"
