system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35223686639203,33.37353569914538]}"
1,602.0,913.0,1008.0,1569.0,2173.0,2352.0,2531.0,2510.0,1730.0,2575.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.09711989998395,34.459598877645874]}"
2,585.0,777.0,1038.5,1231.0,1362.5,1495.0,1641.0,2160.0,1450.5,1712.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.84487296820318,33.36706782909972]}"
3,800.0,1027.0,1338.0,1615.0,1700.0,1839.0,2056.0,2710.0,2152.0,2047.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.11733199387663,33.34038786516137]}"
4,547.0,712.0,981.0,1156.0,1264.0,1399.0,1578.0,2002.0,1420.0,1651.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.72423379982779,34.14887162086894]}"
5,717.0,944.0,1194.0,1398.0,1532.0,1685.0,1879.0,2418.0,1796.0,1832.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.01384607314607,33.593982269868306]}"
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34630798551684,33.67321367792765]}"
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75414769878897,34.660641838231825]}"
8,556.0,877.0,911.0,1456.0,2236.0,2493.0,2695.0,2260.0,1376.0,2738.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.17527332970235,34.39303371509262]}"
9,826.0,1203.0,1573.0,1926.0,2157.0,2298.0,2436.0,2877.0,2065.0,2414.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62200094621313,33.546012233696324]}"
10,568.0,741.0,1001.0,1098.0,1219.0,1334.0,1532.0,2077.0,1385.0,1530.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.96345058570697,33.694773244746514]}"
11,377.0,725.0,376.0,1080.0,3409.0,4077.0,4405.0,2036.0,1043.0,4200.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.66646755277705,34.449897072577386]}"
12,501.0,738.0,706.0,1263.0,2347.0,2614.0,2760.0,1830.0,1156.0,2777.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.58328813174943,33.989061331824075]}"
13,623.0,783.0,1049.0,1183.0,1271.0,1388.0,1564.0,2182.0,1490.0,1577.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97638632579829,33.6961207176727]}"
14,583.0,884.0,1067.0,1441.0,1930.0,2062.0,2258.0,2640.0,1950.0,2264.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.20087531529975,34.69163371553395]}"
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5893921013996,33.591556818601184]}"
16,1244.0,1307.0,1384.0,1490.0,1540.0,1611.0,1816.0,1943.0,1472.0,1701.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36598109023906,33.754601042668874]}"
17,474.0,668.0,765.0,1195.0,1552.0,1734.0,1924.0,1624.0,1113.0,1931.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3922164708172,33.77454364197633]}"
18,484.5,822.0,672.0,1346.5,2717.0,2957.0,3134.0,2323.5,1362.0,3074.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1359271202579,34.29763263191913]}"
19,274.0,636.0,409.0,1040.0,2783.0,3340.0,3545.0,1876.0,964.0,3452.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86373758916969,34.379019996660354]}"
20,666.0,931.0,982.0,1556.0,2462.5,2721.5,2808.0,2685.0,1799.5,2920.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.45366123625098,33.188931908258816]}"
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33822314795977,33.845690212478594]}"
22,606.0,785.0,1059.0,1215.0,1304.0,1427.0,1575.0,2228.0,1623.0,1616.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.88907008018187,33.43363299165297]}"
23,549.0,791.0,908.0,1388.0,2145.0,2355.0,2595.0,2394.0,1590.0,2633.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55866971868271,34.21516728883696]}"
24,539.5,862.0,838.0,1601.5,2783.5,3108.5,3375.0,2187.5,1301.5,3344.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27417784248391,34.245081187798135]}"
25,850.0,1139.5,1520.5,1745.5,1813.5,1925.0,2097.0,2590.5,2023.0,2134.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86778000794823,33.39859869557231]}"
26,666.0,1013.0,1077.0,1683.0,2275.0,2467.0,2689.0,2821.0,1974.0,2652.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.9990238709581,34.476577036515735]}"
27,675.0,953.0,1159.0,1635.0,2250.0,2436.0,2679.0,2982.0,2088.0,2733.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7018657492532,34.46983967188484]}"
28,753.0,1083.0,1535.0,1861.0,1960.0,2078.0,2229.0,2430.0,1597.0,2358.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55651376200082,33.78235898494817]}"
29,601.0,853.0,1221.0,1555.0,1770.0,1896.0,2152.0,2235.0,1484.0,2196.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.40245726505617,34.44208172960555]}"
30,832.5,1111.5,1492.5,1742.0,1816.0,2014.0,2179.0,2708.5,1956.0,2251.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.82007946636149,33.399676673913255]}"
31,704.0,1083.0,1042.0,1791.0,2831.0,3063.0,3266.0,2452.0,1617.0,3214.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70779463012839,34.0456551947236]}"
