system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,711.0,962.0,1297.0,1527.5,1663.5,1796.0,1942.5,2672.5,1948.0,2009.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.76995347350761,35.36024978150411]}"
1,800.0,1006.5,1320.5,1591.5,1714.0,1891.0,2046.5,2604.5,1831.0,2131.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31154318402142,35.20205645997066]}"
2,537.0,834.0,844.0,1362.0,1632.0,1769.0,1893.0,2712.0,1931.0,1972.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.14104751737739,34.84578461828886]}"
3,693.0,953.0,1221.0,1460.0,1578.0,1713.0,1890.0,2435.0,1667.0,1931.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47728235394148,35.73835068459002]}"
4,779.5,1088.0,1374.0,1718.5,1854.5,2017.0,2174.0,2954.0,2201.0,2227.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.05642621761334,34.89752757865414]}"
5,688.0,956.5,1311.5,1577.0,1705.0,1831.5,1969.5,2636.0,1978.0,2024.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.29870184974037,35.05194797599429]}"
6,702.0,851.0,1154.0,1415.0,1593.0,1754.0,1972.0,3030.0,2205.0,2072.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65514878019714,34.87758497934669]}"
7,706.5,898.0,1176.5,1385.5,1476.0,1630.5,1765.0,2450.5,1667.5,1823.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48186376189048,35.45349490799572]}"
8,660.5,888.5,1143.5,1496.5,1650.0,1834.5,1971.0,2782.0,1961.0,2064.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.43156268026165,34.956007903650324]}"
9,590.0,788.5,1053.5,1299.0,1453.0,1581.5,1747.5,2267.5,1570.0,1768.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50126737202747,35.616269637478176]}"
10,622.0,829.0,1041.5,1385.5,1529.0,1713.0,1890.5,3100.5,2163.5,2019.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.34721087508282,35.605489854068736]}"
11,772.0,977.5,1242.5,1561.5,1770.5,1983.5,2264.0,3533.0,2513.5,2357.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34388253424973,35.61896458333053]}"
12,679.5,937.0,1269.0,1584.5,1737.5,1890.0,2035.5,2719.5,2111.0,2059.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.21866195792532,35.065692199841315]}"
13,581.0,743.0,956.0,1164.5,1248.0,1363.5,1442.5,1885.0,1252.5,1508.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48671466442472,35.5653351608686]}"
14,908.0,1086.5,1318.0,1560.5,1675.5,1813.0,1954.5,2631.0,1970.0,2019.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63116376211114,35.7367337170786]}"
15,655.5,808.5,997.0,1230.5,1314.5,1435.5,1533.5,1671.0,1100.0,1588.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.54330852732426,35.36348371652694]}"
16,555.0,758.0,1076.5,1345.5,1463.5,1613.0,1702.0,2452.0,1954.0,1759.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.32538181367872,35.21014129752774]}"
17,779.0,1103.5,1350.5,1691.0,1762.0,1915.0,2058.0,2190.5,1437.5,2096.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86858849170395,35.28856422183137]}"
18,581.0,691.0,866.0,996.5,1062.0,1169.5,1249.0,1960.0,1461.0,1291.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.25683578321855,34.84120321033985]}"
19,746.5,883.5,1147.5,1322.0,1434.5,1589.0,1727.5,2523.0,1772.5,1753.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.67724733618648,34.87273407681244]}"
20,818.0,1170.0,1572.0,1825.5,1968.0,2093.5,2244.0,2913.0,2150.0,2251.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60394480900233,35.70116043182747]}"
21,621.0,770.5,914.5,1179.5,1321.5,1472.0,1618.5,2450.0,1697.5,1688.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.51231665002214,35.560214763749116]}"
22,764.0,1014.5,1334.0,1539.0,1613.5,1754.0,1869.0,2581.5,1892.5,1940.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8817937263805,35.3376122363443]}"
23,610.0,887.0,1173.0,1436.0,1579.0,1704.0,1811.0,2646.0,1934.0,1861.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8817937263805,34.94064671229188]}"
24,730.0,1015.0,1268.0,1645.5,2068.0,2115.5,2254.0,2826.5,2050.0,2431.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.77776881647945,35.33572577424765]}"
25,766.0,1062.0,1424.0,1805.5,2034.5,2143.0,2326.5,2996.0,2224.0,2412.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55840022409747,35.709245269384546]}"
