system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,427.0,508.5,668.5,915.0,1055.0,1172.0,1174.5,2162.0,1487.5,1381.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35223686639203,33.37353569914538]}"
1,437.0,674.0,610.0,1081.0,1860.0,2142.0,2127.0,2084.0,1224.0,2383.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.09711989998395,34.459598877645874]}"
2,1267.5,1633.0,2220.0,2714.0,2883.5,3130.5,3269.5,4821.0,3411.0,3447.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.84487296820318,33.36706782909972]}"
3,788.0,1129.0,1311.0,1883.0,2489.0,2763.0,2682.0,3259.0,2084.0,3071.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.11733199387663,33.34038786516137]}"
4,943.0,1283.5,1824.0,2141.0,2295.0,2507.5,2533.0,3878.0,3304.0,2814.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.72423379982779,34.14887162086894]}"
5,574.0,738.0,935.0,1227.0,1425.0,1599.0,1646.0,3037.0,2116.0,1871.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.01384607314607,33.593982269868306]}"
6,552.0,653.0,768.0,1040.0,1336.0,1467.0,1539.0,2662.0,1754.0,1721.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34630798551684,33.67321367792765]}"
7,507.0,591.0,770.0,976.0,1133.0,1289.0,1317.0,2768.0,2263.0,1544.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75414769878897,34.660641838231825]}"
8,452.0,556.0,706.0,950.0,1102.0,1296.0,1279.0,2568.0,1763.0,1487.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.17527332970235,34.39303371509262]}"
9,999.5,1280.5,1659.0,2055.5,2304.0,2553.0,2553.5,3784.0,2920.0,2857.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62200094621313,33.546012233696324]}"
10,483.0,608.0,837.0,1063.0,1175.0,1332.0,1355.0,2629.5,1894.0,1540.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.96345058570697,33.694773244746514]}"
11,563.0,713.0,903.0,1134.0,1357.0,1525.5,1560.0,2731.5,2090.5,1810.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.66646755277705,34.449897072577386]}"
12,414.0,564.0,659.0,1026.0,1464.0,1732.0,1662.0,2552.0,1802.0,1966.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.58328813174943,33.989061331824075]}"
13,392.0,515.0,725.0,914.5,1033.5,1193.5,1197.5,2214.5,1585.0,1368.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97638632579829,33.6961207176727]}"
14,426.0,545.0,728.0,936.0,1165.0,1328.0,1376.0,2716.0,2027.0,1562.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.20087531529975,34.69163371553395]}"
15,822.5,1081.5,1501.0,1922.0,2108.5,2355.5,2471.0,3643.0,2380.0,2664.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5893921013996,33.591556818601184]}"
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36598109023906,33.754601042668874]}"
17,454.0,578.0,763.0,1051.0,1314.0,1498.0,1551.0,2272.0,1429.0,1767.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3922164708172,33.77454364197633]}"
18,476.5,624.5,845.0,1139.0,1300.0,1476.0,1553.0,3008.5,2284.0,1788.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1359271202579,34.29763263191913]}"
19,1726.5,2001.0,2407.0,2862.5,3245.0,3571.0,3646.0,4758.5,3610.0,3911.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86373758916969,34.379019996660354]}"
20,866.0,1307.0,1653.5,2335.5,3221.0,3567.5,3643.5,4013.0,2448.5,4071.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.45366123625098,33.188931908258816]}"
21,1314.0,1640.0,2129.0,2531.0,2739.0,2985.0,3010.0,4797.0,3796.0,3335.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33822314795977,33.845690212478594]}"
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.88907008018187,33.43363299165297]}"
23,707.5,854.5,1009.0,1307.0,1596.5,1872.5,1690.5,2697.0,2089.5,2093.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55866971868271,34.21516728883696]}"
24,438.5,610.0,746.0,1147.0,1516.5,1837.5,1889.0,2574.0,1604.5,2173.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27417784248391,34.245081187798135]}"
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86778000794823,33.39859869557231]}"
26,562.5,711.0,827.5,1042.0,1177.5,1329.5,1288.0,2406.5,1874.0,1428.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.9990238709581,34.476577036515735]}"
27,516.0,649.0,770.5,1068.5,1383.5,1595.5,1594.5,2267.5,1510.0,1820.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7018657492532,34.46983967188484]}"
28,506.0,658.0,766.0,1134.0,1528.0,1578.0,1562.0,2522.0,1798.0,1991.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55651376200082,33.78235898494817]}"
29,450.0,617.0,709.0,1062.0,1486.0,1767.0,1742.0,2334.0,1552.0,1974.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.40245726505617,34.44208172960555]}"
30,632.5,780.0,967.5,1329.0,1459.0,1690.5,1639.5,2862.5,1987.0,1899.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.82007946636149,33.399676673913255]}"
31,654.5,931.0,1385.0,1732.5,1835.5,2070.0,2115.0,3527.5,2650.0,2396.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70779463012839,34.0456551947236]}"
32,384.0,568.0,752.0,1137.0,1404.0,1653.0,1650.0,2478.0,1677.0,1915.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6943199008666,33.92195718010034]}"
33,495.5,627.5,778.5,1043.0,1292.5,1505.0,1467.5,2481.5,1771.5,1742.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52120997133493,34.3410212601421]}"
34,1233.0,1659.0,1895.0,2315.0,2787.0,3025.0,3188.0,4079.0,3203.0,3318.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.41934101811577,33.767536782760196]}"
35,783.0,1023.0,1421.5,1745.0,1834.0,2001.0,2032.0,3414.0,2461.0,2305.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4977639424194,33.60610952620392]}"
36,830.5,966.5,997.0,1351.0,1885.5,2181.5,2210.5,2476.0,1800.5,2457.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.89661592856847,34.576020538467766]}"
37,437.5,630.0,599.0,1017.5,1759.5,2103.0,2133.5,2286.0,1475.0,2371.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.99578993593526,34.73825627877975]}"
38,1256.0,1617.5,2113.5,2537.5,2730.0,2987.5,2993.5,4722.0,3745.0,3339.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.05723470136904,33.533076493605]}"
39,558.0,691.0,835.0,1122.0,1357.0,1509.0,1544.0,2482.0,1592.0,1679.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.68694914125497,33.24363930906169]}"
40,497.0,712.0,864.0,1178.0,1551.0,1769.0,1801.0,2543.0,1657.0,2027.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.67347441199318,34.11141187352115]}"
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8607731487321,33.39644273889042]}"
42,528.0,647.5,731.5,1024.0,1298.5,1428.0,1478.5,2199.0,1349.5,1629.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62739083791784,33.279482088898064]}"
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.71389859977856,33.54089183657684]}"
44,719.0,821.0,1004.0,1268.0,1443.0,1587.0,1709.0,3278.0,2246.0,1891.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.36796195814598,33.80176259508515]}"
45,1077.5,1366.0,1894.5,2254.5,2383.0,2597.0,2500.0,3854.5,2767.5,2920.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60825672236611,33.62524364175567]}"
46,515.0,685.0,810.0,1078.0,1489.0,1646.0,1605.0,2740.0,1985.0,1905.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.57645636130827,34.069640212809595]}"
