system:index,crop_label,topo_aspect,topo_elevation,topo_slope,topo_tpi,topo_twi,.geo
0,1,-0.0,105.0,0.92740995,-1.7791798,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.30173870892435,35.60212035102372]}"
1,1,90.0,111.0,2.309538,-1.9369085,3.2106378,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.39444484624548,36.60679616478299]}"
2,1,231.07195,73.0,1.4757613,-1.8233439,3.6588318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.393905857075,36.1273652976484]}"
3,1,-0.0,74.0,0.0,-0.3753943,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.61435242779794,35.57247594664777]}"
4,1,148.08313,115.0,2.1843166,2.4605677,3.2664392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.39471434083072,36.60571818644205]}"
5,1,231.07195,73.0,1.4757613,-1.8391167,3.6588318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.393905857075,36.127634792233636]}"
6,1,128.78848,100.0,2.958483,-0.93375397,2.962661,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.38150910615416,36.516245984143744]}"
7,2,128.91824,63.0,1.4760743,-0.46056783,3.6586196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.61192697653081,36.1551232399277]}"
8,2,90.0,85.0,1.152489,-1.2018927,3.9061682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.46316596548061,36.422192373896436]}"
9,2,90.0,49.0,2.3255148,0.9432177,3.2037363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.46245188753517,37.13392757350432]}"
10,2,128.86583,85.0,2.9535334,-0.2807571,2.9643385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.44322336617316,36.30145879971077]}"
11,2,308.92914,67.0,1.4757266,-1.5615141,3.6588554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.50008672365793,36.12440085721081]}"
12,2,-0.0,67.0,0.0,1.4700315,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.87953509967002,36.442134973203885]}"
13,2,75.03347,73.0,3.586687,-0.6971609,2.7696905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.94798672431992,36.68144616489332]}"
14,2,101.40718,60.0,4.679073,-1.170347,2.5029004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.80650206707111,36.189888041423124]}"
15,2,270.0,80.0,1.1409729,1.1671925,3.9162135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.44834376329266,35.63095627164395]}"
16,2,308.74127,58.0,1.4817469,-0.7917981,3.6547823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.11237842131379,36.64641186881266]}"
17,2,90.0,68.0,1.1631767,-0.100946374,3.8969347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.30883997395074,37.12988515472579]}"
18,2,90.0,74.0,2.2932112,-3.5583596,3.2177396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.34027643461306,36.053254286708544]}"
19,2,51.03929,77.0,1.4747214,-0.4858044,3.659537,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.3548291422158,36.03573713866821]}"
20,2,90.0,55.0,2.3149374,-0.17665616,3.2082999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.25197661646597,36.78627955855008]}"
21,2,90.0,72.0,1.1483833,-0.9148265,3.909738,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.45238618207118,36.14353497276255]}"
22,2,231.08156,72.0,1.476068,-0.16719243,3.658624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.46936434094104,36.154314756171985]}"
23,2,-0.0,68.0,0.0,-3.2807572,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.43001813149661,36.11523804131279]}"
24,2,180.0,108.0,1.8543341,1.0757098,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.18639502644339,36.07454435894218]}"
25,2,90.0,57.0,1.148432,0.22397476,3.9096954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.78143907064415,36.147038402370626]}"
