system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,805.0,1114.0,1638.0,1924.0,2108.0,2316.0,2585.0,3670.0,2857.0,2685.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.89602535623301,35.071890575301744]}"
1,574.0,834.0,1097.0,1331.0,1506.0,1652.0,1845.0,2942.0,2536.0,1843.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.46017192894192,37.03650610167114]}"
2,611.0,910.5,1083.5,1397.5,1711.0,1852.0,2039.5,2860.5,2366.5,2024.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.20549954589404,36.84462595698321]}"
3,841.0,1087.0,1409.0,1589.0,1732.0,1888.0,2118.0,3383.0,2885.0,2161.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.25553113293765,35.6833737892019]}"
4,542.0,858.0,973.0,1431.0,2123.0,2363.0,2692.0,3203.0,2242.0,2691.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.62860604471433,35.70628082894695]}"
5,986.5,1356.5,1713.5,1940.5,2145.5,2300.5,2491.0,3624.5,3241.0,2493.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.94247283070385,36.66325610111947]}"
6,727.0,1092.5,1495.0,1667.5,1743.0,1894.0,2043.5,3379.0,2941.0,2113.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1506977392809,35.080514402029294]}"
7,513.0,873.0,887.0,1537.5,2521.5,2766.5,2889.0,2406.5,1955.5,2882.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.98990387770536,36.80824418797636]}"
8,1000.5,1379.5,1860.0,2099.5,2269.5,2388.0,2614.5,3742.0,3275.0,2646.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.18411506785014,35.6871467133952]}"
9,1494.5,1967.5,2396.5,2676.0,2740.5,2857.0,3052.0,4260.0,4084.0,3046.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.88587896780432,36.58645014432726]}"
