system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,554.0,881.5,944.0,1442.5,2802.0,3229.5,3269.0,2425.5,1738.5,3412.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.09456218258713,37.95494364815494]}"
1,376.0,614.5,627.5,1038.5,2346.0,2821.0,2926.5,1994.5,1236.0,3054.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05656344606888,37.99914076013361]}"
2,719.0,1226.0,1654.5,2343.5,3737.0,4260.0,4553.5,3259.5,1863.0,4717.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.21421777843184,38.19209888316249]}"
3,837.5,1203.5,1514.5,1779.5,2049.0,2215.0,2255.5,2987.5,2447.0,2343.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.93026489140352,38.847509714456095]}"
4,743.0,1093.5,1353.0,1707.0,2611.5,2932.5,3135.0,3014.5,1990.0,3238.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.41741669569969,38.09993173501183]}"
5,1105.5,1541.0,2042.5,2487.0,3135.5,3468.0,3581.0,3637.0,2839.0,3764.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05252102729034,38.0832230707272]}"
6,390.0,762.0,593.5,1277.0,3297.0,3907.5,4023.5,2428.5,1473.0,4124.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25545044997294,38.435721988215704]}"
7,757.0,1141.0,1537.0,2158.0,3162.5,3633.5,3908.0,3488.5,2209.0,4115.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.7426022542691,37.69434238423186]}"
8,595.0,992.0,1142.5,1803.5,3296.5,3812.5,3959.0,3120.0,1942.5,4177.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.04524467348897,38.10100971335277]}"
9,493.5,749.0,801.5,1216.5,2484.0,3018.0,3187.5,2931.5,2268.5,3300.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32498005296378,38.07648570609631]}"
10,598.5,984.0,1074.5,1592.0,3258.0,3832.0,3919.5,3125.0,2273.5,4068.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.48981633331786,37.52941169806752]}"
11,1033.5,1419.0,1802.0,2088.5,2376.5,2560.0,2674.0,3732.0,3228.0,2754.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.34097463930297,38.36188047186108]}"
12,705.5,910.5,1073.5,1326.5,1730.0,1895.0,2025.5,3238.5,3083.0,2107.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.40259449351171,38.11987433431928]}"
13,622.0,951.0,1329.5,1734.0,2592.0,3044.0,3203.0,3381.5,2577.0,3373.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.0740805941092,38.13496603109249]}"
14,891.0,1266.5,1695.5,2084.5,2531.0,2769.0,2925.5,3225.0,2539.5,3040.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34168871724842,38.22794166299886]}"
15,678.5,941.5,1092.5,1454.5,2008.0,2308.5,2349.5,2832.0,2256.0,2496.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.42532644448178,38.46590538176212]}"
16,819.5,1174.5,1382.5,1864.0,2919.5,3357.0,3491.0,3052.0,2142.5,3610.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.597169584052,38.342476861724094]}"
17,567.0,868.0,984.0,1335.0,2175.5,2573.0,2730.5,3108.5,2467.5,2781.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33801019886538,38.334661518752256]}"
