system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
32,282.5,452.5,464.0,923.0,1383.5,1567.0,1672.5,1677.0,1074.0,1767.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.22823149686411,38.44650177162514]}"
33,371.5,572.5,544.0,1004.5,1809.5,2046.5,2184.5,1848.5,1230.5,2291.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.00508998028883,37.88541404516408]}"
34,410.0,602.0,815.0,1113.0,1380.0,1544.5,1692.0,2491.5,1937.5,1800.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.10022156887709,38.08753498409098]}"
35,394.0,557.0,665.5,1011.0,1334.0,1468.5,1617.0,2063.0,1527.0,1693.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,38.168922348832204]}"
36,329.0,538.0,545.0,1009.0,1692.0,1884.0,2059.0,1979.0,1390.5,2080.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2101753596533,38.19317686150343]}"
37,372.5,606.5,674.5,1171.5,1893.5,2072.5,2308.5,2124.5,1345.0,2424.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.26892517923473,38.42925411817004]}"
38,359.0,516.0,546.0,835.0,1080.0,1198.0,1338.0,1578.0,1200.0,1378.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.59878655156342,38.340590399627445]}"
39,318.0,564.0,470.0,1004.0,2433.0,2763.0,2969.0,2066.0,1421.0,2966.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.59124070317681,37.81857938802559]}"
40,272.0,403.0,466.0,819.0,1185.0,1321.0,1524.5,1625.5,1115.5,1554.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2664997279676,38.07244328731777]}"
41,187.0,523.0,409.0,1074.0,2038.0,2198.0,2293.0,1831.0,1047.0,2375.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.42478745531132,38.45216115791509]}"
42,288.0,540.0,477.5,1085.5,2127.5,2434.0,2660.5,1911.0,1092.0,2785.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.20748041380095,38.1185268613931]}"
43,404.0,512.0,651.0,974.0,1194.0,1361.0,1535.0,2232.0,1774.0,1613.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.65474701948222,37.718327402317854]}"
44,390.0,670.5,603.5,1106.5,2115.0,2347.5,2524.5,2110.5,1424.0,2508.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29856958361067,38.183744551020176]}"
45,633.0,958.0,659.0,1433.0,3038.0,3316.0,3393.0,2176.0,1369.0,3391.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.52629250813497,38.31930032739381]}"
46,444.5,622.0,682.0,971.5,1314.0,1429.5,1552.5,1895.5,1481.5,1594.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.36432626240823,37.826125236412196]}"
47,351.0,577.0,564.5,1019.0,1686.0,1850.5,1984.5,1811.5,1327.0,2010.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.16193582889609,38.11448444261456]}"
