system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.09456218258713,37.95494364815494]}"
1,285.0,543.0,418.0,898.0,2642.0,3234.0,3363.0,1778.0,986.0,3441.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05656344606888,37.99914076013361]}"
2,671.0,1156.0,1600.0,2242.0,3579.0,4174.0,4486.0,3215.0,1812.0,4556.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.21421777843184,38.19209888316249]}"
3,889.0,1276.0,1596.0,1839.0,2162.0,2342.0,2463.0,2997.0,2349.0,2491.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.93026489140352,38.847509714456095]}"
4,684.0,1028.0,1259.0,1639.0,2496.0,2812.0,3042.0,2886.0,1880.0,3081.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.41741669569969,38.09993173501183]}"
5,1024.0,1438.0,1891.0,2315.0,3048.0,3358.0,3556.0,3326.0,2472.0,3688.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05252102729034,38.0832230707272]}"
6,363.0,735.0,602.0,1254.0,3259.0,3921.0,4077.0,2384.0,1406.0,4024.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25545044997294,38.435721988215704]}"
7,954.0,1371.0,1878.5,2524.5,3503.5,4010.5,4342.5,3971.5,2564.0,4488.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.7426022542691,37.69434238423186]}"
8,565.0,948.0,1172.0,1800.0,3114.0,3602.0,3840.0,3040.0,1875.0,3984.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.04524467348897,38.10100971335277]}"
9,491.0,746.0,823.0,1213.0,2387.0,2860.0,3119.0,2920.0,2199.0,3228.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32498005296378,38.07648570609631]}"
