system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
0,500.5,743.0,852.5,1171.0,1687.5,1810.0,2006.5,2389.0,2062.0,1974.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.09456218258713,37.95494364815494]}"
1,644.0,961.0,1153.0,1565.0,2270.0,2470.0,2717.0,2626.0,2085.0,2648.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05656344606888,37.99914076013361]}"
2,444.0,683.5,742.0,1126.5,1933.0,2177.0,2372.5,2474.5,1860.5,2379.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.21421777843184,38.19209888316249]}"
3,545.5,874.0,1213.0,1334.5,1409.0,1513.5,1657.5,2567.5,2144.0,1632.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.93026489140352,38.847509714456095]}"
4,503.0,665.0,750.0,967.0,1228.0,1364.0,1530.0,2487.0,2172.0,1527.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.41741669569969,38.09993173501183]}"
5,1027.0,1418.0,1861.0,2153.0,2389.0,2540.0,2778.0,3573.0,3320.0,2713.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05252102729034,38.0832230707272]}"
6,265.0,540.5,396.0,931.0,2513.0,2819.5,3001.0,1948.0,1275.0,2962.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25545044997294,38.435721988215704]}"
7,570.5,853.5,855.5,1315.0,2204.5,2478.0,2794.5,2852.0,2202.0,2731.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.7426022542691,37.69434238423186]}"
8,596.5,869.5,1114.0,1433.5,1701.0,1833.0,2008.5,2773.5,2305.0,2032.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.04524467348897,38.10100971335277]}"
9,500.0,753.5,788.0,1217.5,2164.5,2426.0,2601.0,2511.0,2047.5,2585.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32498005296378,38.07648570609631]}"
10,294.5,638.0,531.0,1113.5,2916.0,3369.0,3525.0,2039.0,1429.5,3523.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.48981633331786,37.52941169806752]}"
11,271.0,619.0,355.0,994.0,3128.0,3733.0,4121.0,1674.0,888.0,3859.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.34097463930297,38.36188047186108]}"
12,184.5,478.5,186.5,782.0,3600.0,4887.0,5316.5,1455.0,672.0,5001.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.40259449351171,38.11987433431928]}"
13,503.0,745.0,912.0,1230.0,1678.0,1811.0,2073.0,2777.0,2268.0,2058.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.0740805941092,38.13496603109249]}"
14,483.0,801.0,742.5,1295.0,3109.5,3548.5,3832.5,2326.0,1620.0,3705.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34168871724842,38.22794166299886]}"
15,354.5,650.0,421.0,992.0,3259.0,4063.0,4263.0,1687.5,945.0,4150.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.42532644448178,38.46590538176212]}"
16,500.0,669.5,800.5,979.0,1285.0,1419.5,1594.0,2335.0,1999.5,1621.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.597169584052,38.342476861724094]}"
17,330.0,582.0,519.0,931.0,2137.0,2448.0,2700.0,2170.0,1500.0,2661.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33801019886538,38.334661518752256]}"
18,290.5,1046.0,703.5,1566.5,4116.0,4607.0,4898.5,1757.0,964.0,4674.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.44796398964161,38.49231585111524]}"
19,624.0,937.5,1142.0,1509.0,1936.5,2111.0,2363.0,2909.5,2455.5,2399.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30503745365634,38.17242577844027]}"
20,480.0,727.0,658.0,1113.0,2537.5,3034.5,3322.0,2305.0,1620.0,3238.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.4080787910267,38.23063660885121]}"
21,285.5,616.0,446.5,1135.5,3016.5,3385.0,3632.0,1883.0,1167.5,3547.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.21394828384662,38.17026982175839]}"
22,601.5,924.0,1044.0,1498.0,1985.5,2199.5,2446.0,2863.0,2442.5,2356.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2762015330361,38.078641662778196]}"
23,428.5,657.5,718.0,1072.5,1685.5,1880.0,2067.5,2245.0,1771.5,2046.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.14387969168529,38.16353245712749]}"
24,556.5,842.0,946.0,1281.5,1609.5,1728.5,1878.0,2440.5,2073.0,1895.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.52036362725978,38.38505700619136]}"
25,419.0,704.0,869.0,1373.0,2144.0,2419.0,2655.0,2494.0,1812.0,2709.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.11423528730934,37.59382090393889]}"
26,379.5,622.0,549.5,980.0,2238.0,2755.0,3000.5,1887.5,1378.0,2835.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.36028384362969,38.1786241539007]}"
27,982.0,1372.0,1748.0,2012.0,2224.0,2329.0,2520.0,3626.0,3108.0,2525.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29237120815024,37.60082776315502]}"
28,440.0,796.0,609.5,1258.5,2900.0,3247.0,3565.5,1981.0,1324.5,3454.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32498005296378,38.18455303477589]}"
29,424.0,730.5,660.0,1239.0,2743.0,3064.5,3339.0,2337.0,1658.0,3261.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.28563384351935,38.1861700022873]}"
30,442.5,786.5,692.0,1252.0,2335.0,2522.5,2792.5,2147.5,1657.0,2701.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.14226272417388,38.177276680974515]}"
31,266.5,566.0,355.5,956.5,2637.5,3058.0,3325.0,1839.0,1060.5,3233.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.42936886326032,38.46213245756882]}"
32,261.0,533.5,389.5,923.5,2569.0,2917.0,3173.0,1805.5,1152.5,3058.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.22823149686411,38.44650177162514]}"
