system:index,crop_label,soil_oc,soil_ph,soil_texture,.geo
0,0,2,67,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.35551245992816,38.234803988750336]}"
1,0,2,70,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.37734152133227,38.40162113701133]}"
2,0,3,71,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.41237581741294,38.51292240071374]}"
3,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.37886408303342,38.14829622688963]}"
4,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25354910089875,38.07822763472831]}"
5,0,2,69,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.26055596011489,38.37601915141393]}"
6,0,2,71,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.44552365139694,38.50295110106001]}"
7,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.20288411887441,38.11191445788279]}"
8,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97219675391251,37.89092889798938]}"
9,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.52708610491314,38.255285577228264]}"
10,0,2,73,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.37589964259583,38.358771497958834]}"
11,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.36835379420923,37.657816081760366]}"
12,0,2,68,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.3129323154609,38.23642095626175]}"
13,0,2,74,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.59904115917112,38.34718323079369]}"
14,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31122094213922,38.214322400272415]}"
15,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.23198953407987,38.32050326685534]}"
16,0,3,75,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.40931697116508,38.07580218346118]}"
17,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.23198953407987,38.151530161912454]}"
18,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.62589621188444,37.5400469480123]}"
19,0,3,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.40042364985229,38.21728684071001]}"
20,0,2,72,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.42881498711232,38.47195922375789]}"
21,0,2,70,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.32074765843274,38.35688503586218]}"
22,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.16138195274809,38.139402905576844]}"
23,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31795830677012,38.07526319429071]}"
24,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.20099765677776,37.85535561273825]}"
25,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19614675424351,38.10302113657]}"
26,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.43033754881347,38.207585035641515]}"
27,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19075686253879,38.095744782768634]}"
28,0,3,68,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.04711624860809,38.1202687900251]}"
29,0,2,79,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.22282671818186,38.12188575753651]}"
30,0,2,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.36458087001591,37.825441713777074]}"
31,0,3,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.44462076183098,38.10652456617807]}"
32,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.15814801772525,38.178749115021276]}"
33,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32819910100909,38.20408160603345]}"
34,0,4,70,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.49079874171656,38.54364478343063]}"
35,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.52385216989032,38.36793431385685]}"
36,0,3,73,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25947798177394,38.447435216501425]}"
37,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.26244242221154,38.30810651593449]}"
38,0,2,75,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.4516276210471,38.13239604636071]}"
39,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.09131336058677,38.1774016420951]}"
40,0,2,73,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6348839390075,38.18333052297029]}"
41,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.1659633606971,38.15314712942387]}"
42,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.11314242199086,38.211627454420054]}"
43,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.08915740390488,38.16527438575949]}"
44,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32469567140102,38.117304349587506]}"
45,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32927707935002,38.09143286940486]}"
46,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2907393536613,38.20246463852203]}"
47,0,3,73,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.61628881262621,38.20408160603345]}"
48,0,2,70,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.38910487727239,38.35715453044742]}"
49,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.17916859537365,38.10733304993378]}"
50,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.43114603256919,38.184139006726]}"
51,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.41982725998928,38.20839351939722]}"
52,0,2,73,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31391588799158,38.08685146145585]}"
53,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.0318494630599,39.008253448377246]}"
54,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.10613556277474,38.072837743023584]}"
55,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.04801913817406,39.012026372570546]}"
56,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.31697473423944,38.35499857376553]}"
57,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32200072554866,38.21459189485765]}"
58,0,3,71,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.49124332507677,38.269838284830996]}"
59,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56858827103946,38.4547115703028]}"
60,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.24896769294975,38.157998031958115]}"
61,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34948917324272,38.16123196698095]}"
62,0,2,75,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.24815920919403,37.676411208141644]}"
63,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56050343348238,38.44986066776855]}"
64,0,2,72,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25327960631351,38.32454568563388]}"
65,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.33574494939569,38.10760254451901]}"
66,0,2,73,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.09939819814383,38.18440850131123]}"
67,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33610884979117,38.347991714549394]}"
68,0,3,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97084928098633,37.912218970223016]}"
69,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25435758465446,38.199230703499204]}"
70,0,2,74,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.50229260307145,38.27819261697331]}"
71,0,4,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.79082689804878,37.68395705652824]}"
72,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34005686275947,38.232378537483214]}"
73,0,2,75,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.36404188084545,37.82813665962943]}"
74,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.33008556310574,38.2164783569543]}"
