system:index,crop_label,sol_bulk_density,sol_clay_pct,sol_organic_carbon,sol_ph_h2o,sol_sand_pct,sol_texture_class,.geo
0,1,155.0,18.0,2.0,74.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.3937669681861,36.127625826791174]}"
1,1,156.0,20.0,2.0,78.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.39457545194182,36.605709220999586]}"
2,1,157.0,23.0,2.0,77.0,42.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.30159982003545,35.60211138558125]}"
3,1,155.0,32.0,1.0,79.0,40.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.61448303349428,35.57246698120531]}"
4,1,156.0,20.0,2.0,78.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.39457545194182,36.60678719934053]}"
5,1,156.0,20.0,2.0,78.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.39457545194182,36.60597871558482]}"
6,1,155.0,18.0,2.0,74.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.39403646277134,36.127625826791174]}"
7,1,156.0,21.0,2.0,76.0,38.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.38163971185048,36.51623701870128]}"
8,2,154.0,20.0,2.0,75.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.63226967611985,36.423800375965385]}"
9,2,151.0,20.0,2.0,77.0,46.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.46123502030534,37.151166261516956]}"
10,2,152.0,23.0,3.0,78.0,40.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.16307960322422,36.163468606627546]}"
11,2,158.0,20.0,2.0,79.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.48674260009247,36.37636932896387]}"
12,2,153.0,20.0,2.0,76.0,41.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.49240198638242,36.353192794633586]}"
13,2,163.0,18.0,2.0,77.0,45.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.90526769096377,36.475004347160194]}"
14,2,162.0,18.0,2.0,77.0,50.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.32477635436572,35.925235393279046]}"
15,2,155.0,19.0,2.0,75.0,48.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.3891855602371,36.26506806526146]}"
16,2,156.0,22.0,3.0,74.0,43.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.29216750955219,36.44886337239232]}"
17,2,161.0,19.0,2.0,75.0,49.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.55546371932762,36.20955218070288]}"
18,2,159.0,24.0,2.0,77.0,39.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.15014386313288,36.23892709049358]}"
19,2,149.0,18.0,2.0,76.0,46.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19407148052633,36.059982685896976]}"
20,2,163.0,18.0,2.0,75.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.2824657044837,36.053514815851315]}"
21,2,145.0,21.0,3.0,77.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.51692599363889,36.35454026755977]}"
22,2,162.0,17.0,3.0,77.0,49.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.39161101150421,35.993417523343716]}"
23,2,159.0,20.0,2.0,76.0,45.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.4891680513596,36.406552722510284]}"
24,2,152.0,39.0,3.0,75.0,28.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.41272599496287,36.814298029972136]}"
25,2,157.0,19.0,2.0,77.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.60532021759624,36.39550344451562]}"
26,2,159.0,22.0,3.0,74.0,42.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.42421985631776,36.41221210880024]}"
27,2,159.0,20.0,3.0,76.0,48.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.44847436898898,36.27126644072189]}"
28,2,158.0,21.0,2.0,72.0,41.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.37230180717751,37.000518788370115]}"
29,2,156.0,22.0,2.0,78.0,43.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.39727039779417,35.54390055517031]}"
30,2,152.0,19.0,3.0,71.0,46.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.39134151691898,36.268840989454766]}"
31,2,156.0,18.0,2.0,75.0,48.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.48108321380252,35.64037961668475]}"
32,2,154.0,18.0,2.0,77.0,52.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.88020469453681,36.441856513176184]}"
33,2,155.0,28.0,2.0,76.0,39.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.94299693289679,36.41005615211835]}"
34,2,153.0,19.0,2.0,75.0,48.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.41586552417544,36.22033196411231]}"
35,2,159.0,19.0,2.0,75.0,48.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.66002761839913,36.23784911215264]}"
36,2,162.0,25.0,2.0,74.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.62741877358559,36.14325651273486]}"
37,2,148.0,29.0,2.0,76.0,41.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.85244675225753,36.293634491296466]}"
38,2,158.0,19.0,2.0,78.0,49.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.35711570459404,35.948142433024096]}"
39,2,151.0,19.0,3.0,75.0,45.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.38864657106663,36.16400759579802]}"
40,2,155.0,19.0,2.0,77.0,43.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.27599783443804,36.15080236112146]}"
41,2,161.0,23.0,2.0,75.0,43.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.45126372065161,37.262737019804604]}"
42,2,158.0,21.0,2.0,77.0,40.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.27717021858925,37.13203214596521]}"
43,2,154.0,24.0,2.0,78.0,38.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19353249135585,36.165085574138956]}"
44,2,155.0,18.0,2.0,76.0,45.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.3891855602371,36.27719532159708]}"
45,2,158.0,22.0,2.0,78.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.65841065088772,36.23919658507882]}"
46,2,154.0,17.0,2.0,77.0,50.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.31588303305294,36.103101819534714]}"
47,2,156.0,21.0,2.0,75.0,43.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.47461534375685,36.31115163933679]}"
48,2,158.0,18.0,2.0,76.0,50.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.89152346711674,36.45506174785274]}"
49,2,158.0,20.0,2.0,78.0,42.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.20943267188477,36.229225285425095]}"
50,2,155.0,21.0,2.0,73.0,45.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.42772328592582,36.268840989454766]}"
51,2,154.0,18.0,2.0,76.0,49.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.44065902601714,36.18017727091217]}"
52,2,152.0,19.0,2.0,76.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.20673772603243,36.06456409384599]}"
53,2,154.0,20.0,3.0,71.0,43.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.3854126360438,36.27746481618231]}"
54,2,154.0,21.0,3.0,74.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.41640451334592,36.406552722510284]}"
55,2,164.0,28.0,2.0,79.0,38.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.81956841285876,36.268032505699054]}"
56,2,155.0,18.0,2.0,72.0,45.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.37732779848672,36.15619225282617]}"
57,2,156.0,18.0,2.0,77.0,48.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.42502834007345,36.113342613773675]}"
58,2,157.0,17.0,2.0,77.0,49.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.4853951271663,36.152958317803346]}"
59,2,154.0,21.0,2.0,77.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.38756859272567,36.18475867886118]}"
60,2,163.0,21.0,3.0,73.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.35172581288931,36.00284983382697]}"
61,2,154.0,18.0,2.0,74.0,46.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.4026602894989,36.282854707887026]}"
62,2,159.0,21.0,2.0,72.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.52393285285503,36.11091716250655]}"
63,2,159.0,28.0,2.0,74.0,37.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.2844465723906,37.28510507037918]}"
64,2,163.0,15.0,2.0,75.0,49.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.40158231115794,36.048933407902304]}"
65,2,154.0,20.0,2.0,71.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.02303682471182,36.65260127883062]}"
66,2,150.0,18.0,2.0,79.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.6101711201305,36.155114274485236]}"
67,2,148.0,30.0,2.0,79.0,35.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12248032666386,36.20712672943575]}"
68,2,156.0,19.0,2.0,74.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.43473014514196,36.14595145858721]}"
69,2,160.0,19.0,2.0,77.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.24931787049968,36.00365831758268]}"
70,2,159.0,19.0,2.0,76.0,41.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.2836380886349,37.13176265137998]}"
71,2,155.0,19.0,3.0,75.0,48.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.55573321391284,36.23138124210698]}"
72,2,156.0,18.0,3.0,75.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.26710451312525,36.134093696836835]}"
73,2,156.0,18.0,2.0,76.0,45.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.9664429618123,36.58388015959548]}"
74,2,162.0,17.0,2.0,77.0,51.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.5260888095369,36.167241530820846]}"
75,2,154.0,19.0,2.0,76.0,49.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.43122671553388,36.113342613773675]}"
76,2,158.0,24.0,2.0,75.0,43.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.27178032688452,36.76794496131157]}"
77,2,155.0,17.0,2.0,73.0,50.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.41694350251639,36.19041806515113]}"
78,2,158.0,17.0,2.0,77.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.72281985675909,36.380142253157175]}"
79,2,152.0,20.0,2.0,76.0,46.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.30537274422875,36.10849171123943]}"
80,2,162.0,20.0,2.0,76.0,45.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.37598032556053,35.67002402106069]}"
81,2,156.0,21.0,3.0,77.0,41.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.48835956760388,36.359930159264486]}"
82,2,153.0,14.0,2.0,77.0,49.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.9063456693047,36.66715398643336]}"
83,2,159.0,26.0,2.0,79.0,42.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.97964819648885,36.014168606406884]}"
84,2,153.0,17.0,2.0,77.0,47.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.4651830332736,36.1586177040933]}"
85,2,159.0,20.0,2.0,77.0,43.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.48009964127183,37.04902781371257]}"
86,2,157.0,20.0,2.0,74.0,44.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.42071642670969,36.24755091722113]}"
87,2,157.0,18.0,3.0,78.0,46.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.48512563258106,35.64064911126998]}"
88,2,158.0,18.0,2.0,78.0,49.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.89664386423621,36.41032564670359]}"
89,2,156.0,17.0,2.0,74.0,48.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.48943754594484,36.141909039808674]}"
90,2,151.0,17.0,2.0,76.0,53.0,9.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.44470144479568,36.13948358854155]}"
91,2,157.0,20.0,2.0,77.0,46.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.25480216801466,36.789235033545204]}"
92,2,156.0,33.0,2.0,80.0,31.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.73764205894706,36.13490218059254]}"
93,2,156.0,33.0,2.0,78.0,28.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.78076119258479,36.146759942342925]}"
94,2,160.0,23.0,3.0,74.0,42.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.42206389963587,36.413290087141185]}"
95,2,160.0,24.0,2.0,77.0,45.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.5072241885704,35.65951373223649]}"
96,2,151.0,18.0,2.0,75.0,49.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.50210379145092,36.26749351652858]}"
97,2,155.0,19.0,2.0,77.0,48.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.48458664341058,35.633372757468614]}"
