system:index,crop_label,topo_aspect,topo_elevation,topo_slope,topo_tpi,topo_twi,.geo
0,0,230.64703,65.0,2.9228582,-0.66561514,2.974797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.78624715053314,34.91167522364945]}"
1,0,129.11935,65.0,2.9374623,1.4447949,2.9698043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4801013017052,35.58648966508004]}"
2,0,180.0,58.0,1.8543341,-2.599369,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.83017476792658,34.7556378587979]}"
3,0,-0.0,68.0,1.8543341,0.100946374,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60568577842511,35.71961999018656]}"
4,0,180.0,59.0,0.92740995,-0.4164038,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.26720057936888,34.837294718124355]}"
5,0,22.124937,58.0,3.0009,-1.9810725,2.9483998,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.07972675385498,34.92757540417837]}"
6,0,309.37366,61.0,1.4617369,-0.40063092,3.6683846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86655653693342,34.85103894197139]}"
7,0,219.36652,72.0,3.5943677,2.6561515,2.767546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.44758686270193,35.65116836553665]}"
8,0,-0.0,66.0,0.92740995,1.1230284,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.38254426184983,35.59780843765995]}"
9,0,309.1134,69.0,1.469884,1.9495268,3.6628242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3511078011875,35.6034678239499]}"
10,0,-0.0,79.0,0.0,0.81388015,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.78570816136266,35.19437504356187]}"
11,0,180.0,66.0,0.92740995,-2.0315456,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58439570619149,35.71584706599325]}"
12,0,-0.0,69.0,0.0,-0.8548896,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.159941734445,35.41374363594386]}"
13,0,-0.0,66.0,0.0,-0.23343849,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.1478144781094,35.34286656002683]}"
14,0,-0.0,60.0,0.0,0.056782335,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47093848580718,35.05693280509158]}"
15,0,-0.0,71.0,1.8543341,0.21451104,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.29424444370272,35.74522197578396]}"
16,0,328.65314,59.0,2.1709852,-1.2208202,3.272567,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.98540364902243,34.8308268480787]}"
17,0,-0.0,59.0,0.0,-3.1230283,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.81319660905672,34.82489796720351]}"
18,0,180.0,59.0,3.7047918,-1.3470031,2.7372048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.18617711502314,35.24180609056338]}"
19,0,180.0,58.0,0.92740995,-2.258675,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46258415366488,34.92757540417837]}"
20,0,270.0,57.0,1.1292127,-0.53943217,3.9265769,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.30924173466568,34.78932468195238]}"
21,0,270.0,66.0,1.1378193,0.2555205,3.918982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.23899805372938,35.408623238824376]}"
22,0,230.65245,61.0,2.923195,1.4416404,2.9746816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4574637565454,34.92757540417837]}"
23,0,129.0471,67.0,2.9420187,-1.4069401,2.9682515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5124406519335,35.79184453902977]}"
24,0,247.78247,63.0,2.4513776,-1.2113565,3.1509664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.11843956831868,35.224558437108286]}"
25,0,337.81113,62.0,3.0022612,0.5457413,2.9479454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6536558145971,35.18844616268668]}"
26,0,211.41728,60.0,2.1726115,0.100946374,3.2718177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.48962801799873,35.05747179426206]}"
27,0,-0.0,63.0,0.0,-0.2933754,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48522169882469,35.45470681289971]}"
28,0,50.80455,78.0,1.467303,-0.5709779,3.6645823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.77465888336799,35.36846854562423]}"
29,0,31.39936,59.0,2.1721969,1.3753943,3.2720087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.67305942473408,35.00006944760682]}"
30,0,17.131016,68.0,3.876278,0.10410095,2.6918242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.44048559767553,35.798851398245894]}"
